id,month,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt
23751,01/06/2020,NKGSB Co-operative Bank,213,3321,3534,0.03,9581.87,60286.48,69868.36,0.01,28,5052,5080,0.04,682.82,80302.77,80985.59,0.01
23752,01/06/2020,Nomura Fixed Income Securities Pvt.,74,74,148,0,616567.38,2108057.13,2724624.51,0.31,149,0,149,0,2722693.38,,2722693.38,0.31
23753,01/06/2020,North East Small Finance Bank,5,74,79,0,1003.69,1551.31,2555,0,0,345,345,0,,21142.16,21142.16,0
23754,01/06/2020,NSDL Payments Bank,0,57,57,0,,390.54,390.54,0,0,0,0,,,,,
23755,01/06/2020,NSE Clearing,119,6675,6794,0.06,332340.22,23183443,23515783.22,2.72,388,8040,8428,0.07,1121271.37,22394866.26,23516137.64,2.72
23756,01/06/2020,Nutan Nagarik Co-operative Bank,6,3733,3739,0.03,185.69,51257.42,51443.11,0.01,0,4662,4662,0.04,,67690.2,67690.2,0.01
23757,01/06/2020,Odisha State Co-operative Bank,33,332,365,0,453806.12,438845.28,892651.4,0.1,0,1325,1325,0.01,,749057.44,749057.44,0.09
23758,01/06/2020,Paytm Payments Bank,10,6213,6223,0.05,65018.69,681991.08,747009.77,0.09,0,2175,2175,0.02,,1430391.81,1430391.81,0.17
23759,01/06/2020,PNB Gilts,340,621,961,0.01,2389601.43,1569285.56,3958886.99,0.46,641,0,641,0.01,4579953,,4579953,0.53
23760,01/06/2020,Prime Co-operative Bank,9,1408,1417,0.01,33.85,8783.57,8817.42,0,0,3106,3106,0.03,,27083.35,27083.35,0
23761,01/06/2020,PT Bank Maybank Indonesia Tbk,4,11,15,0,170.3,776.44,946.74,0,0,11,11,0,,1119.74,1119.74,0
23762,01/06/2020,Punjab and Sind Bank,1854,38078,39932,0.33,1116144.21,1303140.97,2419285.18,0.28,2501,58433,60934,0.51,924955.55,1550952.08,2475907.63,0.29
23763,01/06/2020,Punjab National Bank,8207,408634,416841,3.48,1426752.22,11623631.37,13050383.59,1.51,9127,522427,531554,4.44,768228.31,14187800.23,14956028.54,1.73
23764,01/06/2020,Punjab National Bank - United Bank of India (Till 31/03/2020),1502,44445,45947,0.38,386250.37,1569655.02,1955905.39,0.23,710,107011,107721,0.9,68866.92,2400390.12,2469257.04,0.29
23765,01/06/2020,Punjab National Bank - Oriental Bank of Commerce (Till 31/03/2020),4538,165948,170486,1.42,339545.2,2481339.4,2820884.6,0.33,4420,229852,234272,1.96,212416.17,3173187.59,3385603.76,0.39
23766,01/06/2020,Qatar National Bank,1,23,24,0,1279.49,10566.56,11846.05,0,0,12,12,0,,19389.5,19389.5,0
23767,01/06/2020,Rajaram Bapu Co-operative Bank,0,1846,1846,0.02,,31270.89,31270.89,0,0,4145,4145,0.03,,110813.53,110813.53,0.01
23768,01/06/2020,Rajarshi Shahu Co-operative Bank,1,0,1,0,2.14,,2.14,0,0,115,115,0,,1046.2,1046.2,0
23769,01/06/2020,Rajasthan Marudhara Gramin Bank,29,1958,1987,0.02,42.17,9904.29,9946.45,0,23,6301,6324,0.05,48.48,56543.83,56592.31,0.01
23770,01/06/2020,Rajgurunagar Co-operative Bank,1,619,620,0.01,14,4641.58,4655.58,0,0,1544,1544,0.01,,22878.73,22878.73,0
23771,01/06/2020,Rajkot Nagrik Co-operative Bank,41,2974,3015,0.03,154515.57,38159.03,192674.6,0.02,3,3844,3847,0.03,4.27,183677.02,183681.29,0.02
23772,01/06/2020,RBL Bank,254,47458,47712,0.4,533164.12,2937704.42,3470868.53,0.4,502,45012,45514,0.38,574633.45,2943321.38,3517954.83,0.41
23773,01/06/2020,Reserve Bank of India,75,51300,51375,0.43,4675700.55,36918187.29,41593887.84,4.81,0,0,0,,,,,
23774,01/06/2020,Samarth Co-operative Bank Solapur,0,298,298,0,,3728.5,3728.5,0,0,746,746,0.01,,12244.76,12244.76,0
23775,01/06/2020,Sant Sopankaka Co-operative Bank,1,170,171,0,2,1206.33,1208.33,0,0,542,542,0,,7283.9,7283.9,0
23776,01/06/2020,Saraspur Nagrik Co-operative Bank,0,259,259,0,,8002.38,8002.38,0,0,743,743,0.01,,6182.24,6182.24,0
23777,01/06/2020,Sber Bank,69,38,107,0,74949.69,13101.74,88051.43,0.01,35,42,77,0,71285.58,1956.46,73242.04,0.01
23778,01/06/2020,SBI DFHI,130,610,740,0.01,901649.8,1019797.33,1921447.13,0.22,3275,0,3275,0.03,5321462.91,,5321462.91,0.62
23779,01/06/2020,SBM Bank India,28,1584,1612,0.01,12934.3,117480.15,130414.45,0.02,17,779,796,0.01,36272.51,251867.79,288140.3,0.03
23780,01/06/2020,Shikshak Co-operative Bank,2,665,667,0.01,10,33392.15,33402.15,0,2,1476,1478,0.01,32,43203.44,43235.44,0
23781,01/06/2020,Shinhan Bank,799,1841,2640,0.02,104723.81,436191.67,540915.48,0.06,24,1908,1932,0.02,81732.31,495663.85,577396.16,0.07
23782,01/06/2020,Shivalik Mercantile Co-operative Bank,47,1436,1483,0.01,17032.98,21002.55,38035.53,0,0,2987,2987,0.02,,45042.48,45042.48,0.01
23783,01/06/2020,Shri Chhatrapati Rajarshi Shahu Urban Co-operative Bank,6,1504,1510,0.01,149.15,23896.63,24045.78,0,1,2017,2018,0.02,0.1,20660.42,20660.52,0
23784,01/06/2020,Shri Veershaiv Co-operative Bank,6,486,492,0,7.47,4430.66,4438.12,0,4,1842,1846,0.02,75,13358.36,13433.36,0
23785,01/06/2020,Sir M Visvesvaraya Co-operative Bank,0,121,121,0,,12496.68,12496.68,0,0,541,541,0,,5227.68,5227.68,0
23786,01/06/2020,Societe Generale,93,484,577,0,26809.49,500180.4,526989.88,0.06,101,188,289,0,118112.51,323538.86,441651.37,0.05
23787,01/06/2020,Solapur Janata Co-operative Bank,23,1454,1477,0.01,581,42363.94,42944.94,0,0,2405,2405,0.02,,22897.94,22897.94,0
